Ticker,Date,Revenue,NetIncome,EBITDA,TotalDebt,TotalAssets,TotalEquity,SharesOutstanding,EPS,BookValuePerShare
AMZN,2025-06-30,167702000000.0,18164000000.0,36600000000.0,133939000000.0,682170000000.0,333775000000.0,10616399872,1.7109378149843677,31.43956558007087
AVGO,2024-01-31,,,,,,,468140992,,
AVGO,2024-04-30,12487000000.0,2121000000.0,5582000000.0,74016000000.0,175211000000.0,69961000000.0,465308000,4.5582710806605515,150.3541740094733
AVGO,2024-07-31,13072000000.0,-1875000000.0,6394000000.0,69959000000.0,167966000000.0,65651000000.0,4869810176,-0.3850252745457321,13.481223626240991
AVGO,2024-10-31,14054000000.0,4324000000.0,7290000000.0,67566000000.0,165645000000.0,67678000000.0,4741179904,0.9120092651097172,14.274505791881465
AVGO,2025-01-31,14916000000.0,5503000000.0,8537000000.0,66579000000.0,165358000000.0,69789000000.0,4687360000,1.174008397050792,14.888764677771707
AVGO,2025-04-30,15004000000.0,4965000000.0,8020000000.0,67282000000.0,164630000000.0,69586000000.0,4733920256,1.048813611447535,14.699444907590772
AXP,2023-12-31,,,,,,,728745984,,
AXP,2024-03-31,,,,,,,720038976,,
AXP,2024-06-30,16333000000.0,3015000000.0,,53160000000.0,272219000000.0,29540000000.0,719302976,4.1915578005338325,41.06753480191357
AXP,2024-09-30,16636000000.0,2507000000.0,,55003000000.0,270979000000.0,29707000000.0,710912000,3.5264561577241627,41.78716915736406
AXP,2024-12-31,17179000000.0,2170000000.0,,51089000000.0,271461000000.0,30264000000.0,704444992,3.080439245992965,42.96148080218022
AXP,2025-03-31,16967000000.0,2584000000.0,,52795000000.0,282244000000.0,31202000000.0,711368000,3.6324377818513063,43.86196736428965
AXP,2025-06-30,17856000000.0,2885000000.0,,59695000000.0,295556000000.0,32311000000.0,700588992,4.117963646222977,46.119765467282704
BA,2023-12-31,,,,,,,604977024,,
BA,2024-03-31,,,,,,,610134976,,
BA,2024-06-30,16866000000.0,-1439000000.0,-401000000.0,57927000000.0,142720000000.0,-17976000000.0,613884032,-2.3440909438739075,-29.28240361853882
BA,2024-09-30,17840000000.0,-6170000000.0,-5052000000.0,57650000000.0,137695000000.0,-23552000000.0,616222976,-10.012609461676416,-38.219931611248455
BA,2024-12-31,15242000000.0,-3865000000.0,-2829000000.0,54188000000.0,156363000000.0,-3908000000.0,748176000,-5.165896794337161,-5.223369902268985
BA,2025-03-31,19496000000.0,-37000000.0,1250000000.0,53618000000.0,156494000000.0,-3325000000.0,769432000,-0.0480874203308414,-4.321369529731022
